sentence_id,occurrences,speakers,accents,unk_occurrences,sentence,unk_rate,pattern
002d9ce9b23f703382a0e01b478bf7092b10b5df791688b2150c53d8cf2549b5,2,2,2,0,What’s his other name?,0.0,never_unk
0126407f34103cd72d511de00e0de327af8f31bf6c4e1a2c65a588e07590bb7b,2,2,2,0,My review of the sun: one star.,0.0,never_unk
0223866a7df236238825d7ff8a5d39c98db43fe580107cbd0e0a5b656bc7e5ab,2,2,2,0,I suppose I ought to stay in my room all day!,0.0,never_unk
04927dd889d2eacbdece6e072dfb6ada906edc0602a07e8805acad1fafd7a5a7,2,2,2,0,The sheep had taught him that.,0.0,never_unk
0675d0ba551cfdba4c38aa5b2499b714ae0c88ba36d9c06c8a374baf305c14d2,3,3,3,3,"Yeah, I had a bit of a poke at that and failed to work out what was wrong.",1.0,always_unk
07130dcdfcbe6ac70ff6eec0825e46b0a52c7fd2c2db94e757ba6eb63252c32e,2,2,2,0,"Give me my book, the boy said.",0.0,never_unk
0976fa3d5fc9360fa5ab3c542c7d04fe717e084d81c8e1055883878db93fe53e,2,2,2,2,"Gossips are frogs, they drink and talk.",1.0,always_unk
09f6c9f70aecc185ab35254966cbf8ef1b5ecf4bad9c33d36efc72beeff46030,3,3,2,0,"It was, however, still so hot from its flight through the air.",0.0,never_unk
0fcef4fc58feff761b0dfa89a175e06c9a0401b9ebb912fcb273ec85a0190bd4,2,2,2,0,"Then suddenly, they kneel and die.",0.0,never_unk
10a04550288c0841c313a0bee4ef675489b2b5026858e8bc9ae43e084e645b98,2,2,2,0,Mine's in the door.,0.0,never_unk
10f76def6a62c9b396ebbc5e8471e683bb062e1637bf4703c164abcee95d65f3,2,2,2,0,He was ludicrously fast on a bike.,0.0,never_unk
114c527fd5338e110321992f1891b71afa10cec36763b44bce62733bab178c7a,2,2,1,0,I forgot to thank you for those roses.,0.0,never_unk
1199d79b0a8add9abc1d00a01fef7ce168623b0ce30f79cd0ef02d240b9be48d,2,2,2,0,Keep him in here!,0.0,never_unk
119f610b5d5e2c54dde586cb5876be0aaad74081f8e55a3c48f8ce68c1b583a8,2,2,2,0,I've been lonely and hungry for something practically all my life.,0.0,never_unk
12305a3ecc663fcb537a825211799977de4d324a4601d562af44ab55930289b0,2,2,2,0,"You'll live, and you'll learn that a man shouldn't be so stupid.",0.0,never_unk
154539ca07f5d2fee3e1f725d6532427998ae69a978db44291d2224caa61feca,2,2,1,0,What do you think it was?,0.0,never_unk
156bffc01213cd379370a3b5aa1345e58c75d4a19cffa95b04e5f7443e78c13d,2,2,1,0,"It's such an unfair world, innit?",0.0,never_unk
15aa5db853745f3dbda9b0d0c9000a07917dbb89b1fe15821a2935d9393f8ac1,2,2,2,0,Haven't you got any feeling?,0.0,never_unk
174e80803a36e6fe52e81eff8d2e5f0caf9f5065d6b4182dbd2f5e6edf5dfab8,2,2,1,0,"I'm an adventurer, looking for treasure, he said to himself.",0.0,never_unk
181b0ddb759ba126b890dbab956ec5f87b42fa015034314eecc477687de8679d,2,2,2,0,"The C++ framework Qt is pronounced like ""cute"".",0.0,never_unk
1835a9e5aded0919923b1093b805aaebdb3914bd2abe051b40576d79dd1047b9,2,2,2,0,What should I say?,0.0,never_unk
18dc302ff137144b3483bf7cfe44b57076cf153bedab645977833a9cf160cb0b,2,2,2,0,"Lots of places sell tea around here, the merchant said.",0.0,never_unk
19df22549f4a8c2a1a49d2888d3b28cf7543997d71b2f15c80aff731fc6239e0,2,2,2,2,Pull the hook to toggle the jukebox.,1.0,always_unk
1bf9762c63a69b5c3fd2a3fd6a0fa6cc330dbe671ded35bb5ac6be796d606d96,2,2,2,0,"Wearing his new sandals, he descended the stairs silently.",0.0,never_unk
1c15a091c1bd41f279cadffd0e9a96d88664321f9b51425e620c5206d54827c5,2,2,2,0,"If you start your emails with ""Greetings"" let me be the first to welcome you to Earth.",0.0,never_unk
1ce757161a274a6eae858799f6222e700902e9f302a2cb11d849ce082795a8ae,2,2,2,0,Sell your gift to a buyer at a good gain.,0.0,never_unk
1d7576a1c1ea24d09fe27f6fb957eceaaee9e2a0694d0f5d3d084e8b427c5000,2,2,1,0,"You know, he is an honest man.",0.0,never_unk
215609d5bb16a5711045217d99f5648d81070b7844663daabc62373d0c03129d,2,2,2,0,Love is blind,0.0,never_unk
21ab88c247c6a72eab8675717b0c89cbbede062cf4e9c5982de5922ca86d713c,3,3,2,3,He stood irresolute for a moment and then scrambled out of the pit.,1.0,always_unk
21ec66371ec4d52a4c460de8b2859816390f346694405ed281174c16562252b7,2,2,2,0,All is not gold that glitters.,0.0,never_unk
22d65c5979a7add586df8ff7aed61f42604ed3432644c34c239d127caab32029,2,2,1,0,The monk was irritated.,0.0,never_unk
22da10e5b681aeea680e3378e2dfee2142affcb5b3dd3ac97b07751d3329096a,2,2,1,0,"Watch out, blues ahead!",0.0,never_unk
2582cb3cf590656443f1aa966d58f117bfb4108c9f536ca448ccfe455710f11b,2,2,1,0,Where did it come from then?,0.0,never_unk
264b31c86d58d25de640e5fe71d579d8a2373efc570aea6e5581a6088b54fd07,2,2,2,0,Then what does she want with you?,0.0,never_unk
2a82a87493dc776b6e18da63fbe2957415cca98aa863b2b50f0b3ce9c824419f,2,2,2,0,"When he kissed her cheek, she suddenly blushed, changing her color faster than a chameleon.",0.0,never_unk
2ba7f3be8bcec7ffe96880c6b134e03bd9cba1e4b209a2da2771a4e1ae147a82,2,2,2,0,I can't find it anywhere.,0.0,never_unk
2c79754f23c5a9769c4dc728c959c49ff7f62ba9ab174ff563be94b44def1117,2,2,2,0,And what did she say?,0.0,never_unk
2cb95a392deedcb3b8bc213ae7695748,2,2,2,0,"Ninety five lines and no more, that's it.",0.0,never_unk
2df5c1edcc2e84676b72652f81c3c4d3de75c473ca93296d57e449692cb13a2b,2,2,1,0,Does the venue offer free WiFi?,0.0,never_unk
2e10e4b2a57c652f4af3af131110484aace524be01a8e3d5967dcd1fb3d69fef,2,2,2,0,You must mean two other trees.,0.0,never_unk
2f4278ae6e068e2c0acc77c22a6608c394e523234856872ccc45f06d5cb89377,2,2,1,0,There you have it!,0.0,never_unk
2fc893cba4ef0299b23fea2025a5258ca30346021315d093e7c2998cadc8b244,2,2,2,0,Tell them it's a case of serious delirium.,0.0,never_unk
3232fab0eb42ac524a3a4b249eed0ffd6440d1b38ae0b8de4b3a63034610b3f9,3,3,3,0,"No, nothing at all.",0.0,never_unk
3271189e95b2e3ab9a867953a87e7eec403250e9bf3d0031a99d7621cd2d936c,2,2,2,0,You'll be the counselor of the oasis.,0.0,never_unk
335c5e548e43fc2a69d8bec4a0b20296ec4228d003b6c4b711834fade11566cc,2,2,2,0,In his youth my dad was a hooligan.,0.0,never_unk
34dab646145d11b256fc38dad21094505c42ed03bb4f56ad1e8e4b2280015a5d,2,2,2,0,What else can I do?,0.0,never_unk
3596281e827886984eeb50f435bbd683d5a0a2b3591f389fc6ec2b0342003570,2,2,2,0,What are you doing in here?,0.0,never_unk
35a2f801b81944fb1e632756d46321c70a9a63681f39fb8b9480d66b07639284,2,2,2,0,A ripe plum is fit for a king's palate.,0.0,never_unk
370c672abea713c78cf5c1a9cc4a22ae2436ed794abf1c16ac64bfbaa76f8dc7,2,2,2,0,There was no need.,0.0,never_unk
38dd7bd60867f3204fa8224a10b54ac81497474f106af07118fce8def50c25cc,2,2,2,2,I have blisters on my hands because I was bouldering yesterday.,1.0,always_unk
3a77fe00836f6fae260e86283b32f0529a7194c2dae84083ddab3663e703cdcc,2,2,2,0,Can I have one of those?,0.0,never_unk
3ab42003a097423051bac16025e41c8bf4e8cfd8aa7687e5cc4d3d915366a96d,3,3,2,0,"I'm definitely out of practice actually writing stuff, too.",0.0,never_unk
3c10956d6a9d50d9a8ea381bbfe54cc9ed031eee60ac81ce86a25fc3f567f92e,2,2,2,0,"But my heart is agitated, the boy said.",0.0,never_unk
3d5c8fcc19c221528ccd2b22fd4f163d3d0df31429a08d94c695d9a0df4bb782,3,3,2,0,I have already described the appearance of that colossal bulk which was embedded in the ground.,0.0,never_unk
3de032f5c1811f31717e301b467b838f876ebb4b81627dd5741e40f4967dd8a6,2,2,2,0,You can count on me under one condition.,0.0,never_unk
3de87cdb34f667bfc80ca693df9732181e5cd03f07be643b0d4c7cbaf1ea42f3,2,2,2,0,Symmetric algorithms tend to be faster than asymmetric ones.,0.0,never_unk
403f8c8d587cdf74f7de3d6a33eb8ce2fb93e032ee28756680d38848ef8c006c,2,2,1,0,He recited an Our Father silently.,0.0,never_unk
40d5688f6899edfdd7f1659b34b4596f0e464a138736fe3fcccc1d8663f7bb20,2,2,2,0,"And, above all, don't forget to follow your destiny through to its conclusion.",0.0,never_unk
41092059a90cd06cc1af172337640ab6f0092041649c459a1f8b0e206ced6a94,2,2,1,0,Love required them to stay with the people they loved.,0.0,never_unk
41598cb84264d50332763f1f3bb0bfa40e50a18425919586b836d4fe54f2a60a,2,2,2,0,All that time the Martians must have been getting ready.,0.0,never_unk
41e8613149bddc3fbf1a45aaa0884db1,2,2,2,0,"From a technical point of view, the MP-Three-standard is completely outdated and yet it's still very successful.",0.0,never_unk
42131000890fbda74e1feff7da0abc5c239c9ed69d0ea89cf467a69585ce577f,2,2,2,0,You wouldn't mind living in the nicest house in town.,0.0,never_unk
42402fbc7fca2798f43f6a7d1cc44d51e3da4fc981263f7eccac347ce05e353d,2,2,2,0,"A group of people, one of them with a guitar, were sitting by the campfire and singing songs.",0.0,never_unk
4254c449ca295d07cce0850b4c12ba1acbb8614fbd30943144713d04e2c0ea70,2,2,1,0,I heard a faint movement under my feet.,0.0,never_unk
4432533216d6cbfea5f356a10d98fa62c7f49f3e5a5f47be414125b78695ec69,2,2,2,0,Do you know what's wrong with you?,0.0,never_unk
4508a1bbaa15e86870d5edefbb3048f929a98d5add2094d657a8d9ac4053a193,2,2,2,2,"The diver forced open the oyster, revealing a shimmering pearl.",1.0,always_unk
45318fbcabc5333a5afe0a7407379737ec43c78676a6905d0ec2347838229d31,2,2,1,0,Petrov made a funny face as he turned.,0.0,never_unk
455ce71cfb00db7f6e5203e00d0ab774ac64d99c4023ca4b952cf7c9b73019d6,3,3,2,0,What did you do?,0.0,never_unk
459d1509e77d2a20c558015e8c8952f1ae67a18ffc9a3e5ea54ef458761e8245,2,2,1,0,Treason is a blow that comes unexpectedly.,0.0,never_unk
45b714272cec659c14940ce00e5c62c120d386a0acb001d1d97c729c53e810c9,2,2,2,2,"Take shelter in this tent, but keep still.",1.0,always_unk
45d8ef0bcd663989dfea2eefa21f5e511906d4f9e8d8e8bcafd265ecde238f87,2,2,2,2,The hydrogen gas escaped.,1.0,always_unk
45ed8f046b24c9beba4f7de2f735257102a18f6198493bb4ff6df8fc7f0ae5a1,2,2,2,0,The treasure is at the Pyramids; that you already knew.,0.0,never_unk
46016b952bb6e38d9a356fe1aed0fb209b3c36ce79942e1f0bb98cedb20e6cf1,2,2,2,2,I bet you forgot the wine!,1.0,always_unk
46a9951ca69adeac5441ff15330f4bb2208d54e9cdbe64c94655d4971b47ffbe,2,2,2,0,The night was warm and I was thirsty.,0.0,never_unk
490f6b39136c6a82d48e40c8d2eccf6ba2023c3c42c72fdd153d9c0395cf0862,2,2,2,0,Its lower end was still embedded.,0.0,never_unk
49b13eda497c136de43754761cf890118046cc8e0be816b4bce19a6388e041d4,2,2,2,0,Something terribly important's happened.,0.0,never_unk
4a0b2f9dc4a4fe558cb14b770bd731412fddb7c5991d748145e25514e4d0177a,2,2,2,0,"To the world you may be one person, but to one person, you may be the world.",0.0,never_unk
4a52fa2daff90c6a6fe9b44761d8e1ccd27c74e118dfd1a5e34cc72089340695,2,2,2,0,It's a man who understands nature and the world.,0.0,never_unk
4a654b634c01c43ff0cdf588d068863023eedd5a5005a4472f1686928e8de410,2,2,2,0,"A practice of infidels, he said to himself.",0.0,never_unk
4bc4400756fd662050bed8cfed1fc58abd8b45092b0f23aa4a6e7e0125339763,4,4,4,0,"Deeds are fruits, words are but leaves.",0.0,never_unk
4cf7c27b8605aacb3c229647f5e0b833a3c490a2b2d74be2c17f02b246c37bb3,2,2,2,0,"People from all over the world have passed through this village, son, said his father.",0.0,never_unk
